"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","User should not be able to login with Invalid credentials","Chrome","Thu Sep 18 21:51:48 PKT 2025","skipped","Thu Sep 18 21:51:48 PKT 2025","","TC_01_login.spec.js","",""
"","66123","User should be able to login with valid credentials","Chrome","Thu Sep 18 21:50:41 PKT 2025","broken","Thu Sep 18 21:51:47 PKT 2025","","TC_01_login.spec.js","",""
